Station city,Station country,Year,Temperature mean,Temperature dev.,Temperature mean max.,Temperature mean min.,Temperature absolute max.,Temperature absolute min.,Precipitation total (mm),Precipitation %,Precipitation no. of days >=1mm,Vapor pressure (hPa),Air pressure at sea level (NN),Sunshine dur. (h),Sunshine dur. (%)
Lajes/Azoren,PRT,2016,17.6,0.7,20.6,15.2,30.4,8,817,64,106,16.8,1022.9,1846,96
Santa Maria/Azoren,PRT,2016,18.1,0.6,20.8,15.7,,,696,90,87,17.1,1023.3,,
Lissabon,PRT,2016,17.5,0.7,21.8,13.9,37.1,1.7,800,106,90,14.3,1018.2,2996,107
Helgoland,DEU,2016,10.7,1.6,12.4,9,24.4,-3.9,715,100,142,11,1015.1,1764,105
Hamburg-Fuhlsb.,DEU,2016,9.9,1.2,13.7,5.9,31.9,-8.8,739,96,129,10.6,1015.7,1526,98
Greifswald,DEU,2016,9.6,1.5,13.3,5.8,33.4,-13.7,450,80,106,9.9,1015.8,1751,101
Berlin-Tegel,DEU,2016,10.7,1.4,14.8,6.4,35.1,-11.2,430,77,96,9.9,1016.3,1661,102
Essen,DEU,2016,10.8,1.2,14.4,7.4,33.5,-6.5,839,90,133,10.5,1016.5,1594,110
Dresden,DEU,2016,10.1,1.2,14.1,6.1,33,-13.1,725,109,121,10,1017,1710,108
Frankfurt/Main,DEU,2016,11.1,1.4,15.5,6.7,35.5,-7.6,662,101,111,10.4,1017.4,1536,97
Stuttgart,DEU,2016,10.2,1.7,14.8,5.7,33.2,-10.7,616,86,112,10,1017.8,1745,100
München (Stadt),DEU,2016,10.4,2,14.9,6.4,33.2,-8.1,953,98,131,9.9,1017.8,1718,102
Zugspitze,DEU,2016,-3.6,1.2,-0.9,-6.2,16.8,-23.5,1933,97,185,4.1,,1742,94
Wien,AUT,2016,11.5,1.8,15.7,8,,,740,122,104,10.6,1017.2,2069,108
Innsbruck,AUT,2016,9.7,1.5,15.4,5.5,,,1424,156,136,9.7,1017.6,1978,103
Sonnblick,AUT,2016,-4.2,1.5,-2.2,-5.8,,,1776,110,183,4,,1696,102
Prag,CZE,2016,9.4,1.5,13.8,5.2,32.4,-17.1,475,90,94,9.5,1017.4,1678,101
Brünn,CZE,2016,10.4,1.8,14.9,6,34.8,-11.2,526,108,84,10.1,1017.4,1731,102
Sliac,SVK,2016,9.5,1.5,15.3,4.6,35.2,-17.9,815,119,101,9.7,1017.6,1914,115
Poprad,SVK,2016,7.2,1.3,12.8,2.4,31.5,-20.3,726,125,105,8.6,,1933,107
Elbing,POL,2016,8.1,0.5,11.3,5.4,,,859,125,132,9.7,1015.7,1947,127
Warschau,POL,2016,9.8,2,13.9,5.8,,,595,115,104,9.7,1016.5,1834,80
Breslau,POL,2016,10.5,2.2,15.1,6,,,612,104,102,10.4,1017,1921,129
Budapest,HUN,2016,11.6,1.2,16.4,7.3,,,687,133,81,10.5,1017.5,,
Debrecen,HUN,2016,11.1,1.2,16.1,6.5,,,744,132,90,10.5,1017.1,,
Pecs,HUN,2016,11.8,1.4,16.5,7.6,,,789,127,99,10.7,1017.8,2298,110
Belgrad,SRB,2016,13.5,1.6,18.3,9.5,36,-11.5,760,111,96,11.2,1017.2,,
Podgorica,MNE,2016,16.7,1.4,22.2,11.6,37.8,-4.8,2026,122,102,12.2,1016.3,2366,95
Skopje,MKD,2016,13.3,,19.5,8.5,38.6,-11,,,,10.8,1016.9,,
Tirana,ALB,2016,15.9,0.7,23,10.2,38.8,-8.9,,,,12.7,1016.1,,
Ljubljana,SVN,2016,11.7,1.9,16.5,7.6,,,1317,94,112,11.2,1017.7,1919,112
Zagreb,HRV,2016,13,1.7,17.3,9.5,34.7,-6.5,855,97,96,11,1017.3,1965,109
Split,HRV,2016,17.1,1.3,20.4,14.1,36.1,-2,721,87,82,11.5,1015.6,2549,98
Mostar,BIH,2016,15.8,1.2,21.1,11.2,38.2,-3.8,1395,95,110,12.9,1016.4,2351,102
Sarajevo,BIH,2016,10.9,1.3,16.9,6.3,35.3,-13.4,1008,108,119,9.6,1017,1844,103
Cluj,ROU,2016,9.7,1.5,15.2,4.9,34.1,-14.7,763,139,105,10.4,1017.7,1905,94
Timisoara,ROU,2016,11.9,1.2,17.5,6.8,34.7,-13.6,802,135,98,11.3,1017,2055,97
Sibiu,ROU,2016,9.9,1.4,16,4,33.7,-22.6,722,115,93,10.2,1017.8,1608,88
Sulina,ROU,2016,12.7,1.3,15.2,10.2,32.8,-13.1,400,142,60,13,1016.4,2129,101
Bukarest,ROU,2016,11.5,0.9,17.8,5.5,37.1,-22,715,120,81,11.4,1017.1,1967,93
Konstanza,ROU,2016,13.4,1.8,17.2,9.7,32.6,-11.7,508,128,57,12.5,1016.8,2218,98
Varna,BGR,2016,13.6,1.6,17.9,9.6,,,543,113,58,12.5,1016.6,2542,128
Sofia,BGR,2016,11.4,1.7,17.3,6.1,35,-20,664,118,107,10,1017.2,2333,115
Triest,ITA,2016,15.6,1.4,19.7,12.2,35.4,-1,893,85,97,12.7,1016.1,2152,102
Pisa,ITA,2016,15.4,1.4,20.6,10.5,33,-3.5,953,106,83,14.3,1016.1,2386,105
Termoli,ITA,2016,17.8,,21,15.2,36.8,2.4,361,94,66,14.5,1015.3,2405,108
Grazzanise,ITA,2016,16.8,1.7,22.1,11.7,35.4,-2.8,828,92,86,16.7,1016.1,2443,103
Messina,ITA,2016,19.3,1.1,22.3,16.9,35,3.4,1106,133,98,17.1,1016.2,2605,105
Trapani,ITA,2016,18.3,0.6,23,13.6,37,2.4,352,78,57,16.9,1016.7,2626,98
Luqa,MLT,2016,20.1,1.5,23.7,16.5,37.5,5.9,325,59,51,16.6,1016.8,2968,101
Kerkyra,GRC,2016,18.7,1.3,22.9,13.8,,,1076,99,86,16.1,1015.6,2662,105
Larissa,GRC,2016,17,1.3,22.6,9.9,,,439,106,54,11.5,1016,2421,100
Athen,GRC,2016,19.8,1.3,23.3,15.5,38.6,0.3,340,92,38,12.8,1015.8,2818,102
Heraklion,GRC,2016,19.9,1.2,22.8,16.4,,,405,81,43,16.5,1015.3,2944,109
Murmansk,RUS,2016,2.5,2.6,5.7,-0.5,28.1,-31.5,659,138,138,6.9,1011.2,1420,108
Kanin Nos,RUS,2016,2,3.2,4.2,,,,408,95,110,6.9,1012.5,888,80
Archangelsk,RUS,2016,3.1,2.3,7.2,-0.6,,,545,100,116,7.7,1013.4,1678,102
Tallinn,EST,2016,6.6,1.5,10.1,3.3,,,772,116,131,8.8,1013.3,1900,108
St. Petersburg,RUS,2016,6.5,1.6,9.6,3.8,31.5,-24.5,866,140,135,8.5,1013.7,1291,79
Klaipeda,LTU,2016,8.6,1.5,11.9,5.6,,,849,116,137,9.7,1015,1922,106
Daugavpils,LVA,2016,6.8,1.3,11.1,2.5,,,705,111,135,9.2,1015.2,1628,97
Vilnius,LTU,2016,7.4,1.3,11.3,3.7,,,685,100,134,8.8,1015.9,1601,101
Minsk,BLR,2016,7.8,2,11.5,4.4,34,-20.8,758,112,118,8.9,1016,1767,101
Kasan,RUS,2016,6,2.2,10,2.6,,,598,109,115,7.7,1016.7,1867,97
Moskau,RUS,2016,6.7,1.7,10.2,3.2,33.6,-20.3,882,128,137,8.4,1015.6,,
Gomel,BLR,2016,8.2,1.7,12.2,4.3,33.5,-22.6,631,107,96,9,1016.2,1879,103
Kiew,UKR,2016,9.5,1.8,13.7,6,35.4,-19.2,654,101,96,9.5,1016.4,,
Odessa,UKR,2016,11.5,1.4,15.3,8.2,36.8,-16.3,754,163,68,11.7,1016.6,2152,98
Charkiw,UKR,2016,8.9,1.4,13.1,4.8,38.4,-24.3,746,144,107,9.4,1016.4,1946,109
Wolgograd,RUS,2016,9.2,1.5,13.6,4.7,38.6,-27.1,,,,9,1017.2,,
Rostow am Don,RUS,2016,10.8,1.2,15.2,6.6,38.4,-20.6,708,122,91,10,1016.7,,
Jerewan,ARM,2016,12.7,1.3,19.1,8.6,,,366,132,65,10.2,,2650,107
Jan Mayen,NOR,2015,0.9,2.3,2.7,-0.8,14.2,-14.3,677,98,147,5.8,1004.7,,
Svalbard/Spitzb.,NOR,2015,-2,4.4,0.3,-4.3,17.9,-26.9,403,220,86,4.4,1006.6,,
Tromsoe,NOR,2015,4.2,1.5,6.9,1.8,21.7,-14.3,1140,117,159,6.8,1005.4,,
Bodoe,NOR,2015,6.3,1.8,8.7,4.1,23.9,-10.4,1315,129,188,7.9,1006.1,,
Bergen,NOR,2015,8.7,1,12.1,6.1,30,-5,3104,159,232,8.4,1010.4,,
Oslo,NOR,2015,7.6,1.9,11.8,4.1,27,-12.8,917,119,129,8.2,1011,,
Kvikkjokk,SWE,2015,0.4,,5.5,-5,27.3,-38,681,111,140,5.8,1007.6,,
Östersund,SWE,2015,4.6,2.1,8,1.5,29.1,-21.6,,,,6.6,1009.1,1674,109
Stockholm,SWE,2015,8.7,2.1,12,5.9,30.3,-7.1,657,122,102,9,1011.8,1918,105
Jönköping,SWE,2015,7.2,1.8,11.1,3.1,29.6,-12.7,,,,8.5,1013.2,,
Visby,SWE,2015,8.5,1.5,11.8,5.2,27.5,-9.1,505,97,104,10,1013.4,2236,119
Sodankylä,FIN,2015,1.6,2.6,5.6,-2.6,25.3,-38,664,133,136,6.6,1008,,
Kajaani,FIN,2015,4.3,2.9,7.2,0.9,24.1,-29.9,,,,7.7,1009.4,,
Jyväskylä,FIN,2015,5.3,2.7,9.2,1.3,29.2,-24.3,688,108,138,7.8,1010.5,1426,89
Helsinki,FIN,2015,7.2,2.7,10.4,3.8,30.5,-16.7,643,99,127,8.7,1012,,
Lerwick,GBR,2015,7.9,0.9,9.7,6,17.3,-1.9,1521,125,229,9.4,1008.2,912,88
Aberdeen,GBR,2015,8.9,1,12.1,5.6,26.7,-6,869,111,149,9.1,1011,1503,111
Waddington,GBR,2015,10.6,1.3,14.1,7,33.1,-3,529,88,116,9.9,1015.6,1574,102
London,GBR,2015,12.2,1.6,15.8,8.4,36.7,-4.4,562,94,111,10.5,1017.2,1506,99
Camborne,GBR,2015,11.3,1,13.6,9,24.2,-1.3,1086,101,168,11.3,1017.8,1517,92
Valentia,IRL,2015,10.7,0.2,13.5,8,,,1735,122,222,10.6,1015.4,,
Dublin,IRL,2015,9.3,-0.2,,,,,876,120,145,,1014.7,,
Belmullet,IRL,2015,9.9,0.2,12.7,7.1,,,1451,127,213,10.1,1012.8,,
Reykjavik,ISL,2015,4.5,0.2,7.6,1.9,,,1025,128,179,6.9,1001.4,1389,110
Akureyri,ISL,2015,3.9,0.6,7.3,1.2,,,587,120,113,6.6,1003,899,86
Egedesminde,GRL,2015,,,,,,,356,130,88,,,,
Angmagssalik,GRL,2015,-0.4,1.2,,,,,1070,115,133,4.6,1003.5,,
P. Christian Sund,GRL,2015,0.5,-0.2,,,,,,,,4.6,1002.5,,
Thorshavn/Färöer,DNK,2015,7.1,0.7,,,,,1687,115,218,8.7,1005.4,,
Kopenhagen,DNK,2015,10,1.3,,,,,786,124,138,10,1015.1,,
De Bilt,NLD,2015,10.9,1.5,14.9,6.4,33.1,-5.7,855,106,140,10.7,1017.3,1857,126
Brüssel,BEL,2015,11.3,1.4,15,7.5,34.5,-3.1,741,93,138,10.3,1017.9,,
Luxemburg,LUX,2015,10.4,2.1,14.3,6.6,36.1,-6.8,631,72,107,10.1,1019.2,1848,113
Säntis,CHE,2015,0.2,2.2,2.8,-2.3,20,-17.1,2366,88,144,4.9,,1991,119
Genf,CHE,2015,11.6,1.9,16.5,6.7,39.7,-5.9,686,72,89,10,1020.2,1996,118
Brest,FRA,2015,11.9,1,15.5,8.8,32.7,-2.5,1211,109,159,11.5,1019.1,1545,88
Paris,FRA,2015,12.4,1.5,16.9,8.1,39,-4.3,509,82,92,10.8,1019.3,1948,111
Strassburg,FRA,2015,12,2,17.2,7.3,38.7,-5.6,475,78,84,10.4,1019.5,1886,115
Bordeaux,FRA,2015,14.1,1.4,19.5,9.8,38.3,-5.6,596,65,101,12.2,1020.4,2151,103
Toulouse,FRA,2015,14.5,1.6,19.6,10.1,36.9,-4.7,512,78,82,12.1,1020.3,2238,109
Marseille,FRA,2015,16.1,1.3,21.2,11.4,36,-3,530,97,52,12.2,1017.9,3052,108
Ajaccio,FRA,2015,16.3,1.5,21.8,11.3,35.7,-2.9,447,69,48,14.2,1017.4,3025,110
La Coruna,ESP,2015,15.3,1.2,18.3,12.3,29,4,770,77,109,,1020.8,2208,112
Valladolid,ESP,2015,13.3,1.3,19.4,7.2,38.4,-4.4,350,79,57,9.6,1019.7,2679,105
Barcelona,ESP,2015,17.4,2,21.5,13.4,33,-0.1,326,49,42,14.8,1018.9,,
Madrid,ESP,2015,16.2,2.2,22.1,10.4,40.2,-3.5,277,60,39,9.8,1018.4,3050,109
Palma de Mallorca,ESP,2015,17.3,1.5,23.5,11.4,39.5,-2.2,391,92,35,15,1019,,
Alicante,ESP,2015,19.1,1.3,24.2,14.1,38.2,0.3,243,68,28,15.1,1019,3260,112
Cadiz,ESP,2015,19.1,0.8,22.1,16,35.7,4.3,467,77,39,16.1,1019.8,,
Almeria,ESP,2015,19.9,1.4,24.2,15.7,41.1,5.3,256,126,24,15.8,1018.6,3161,108
Gibraltar,GBR,2015,19,0.8,,,,,462,60,42,,1019.8,,
Lajes/Azoren,PRT,2015,17.4,0.5,21,15.3,,,1155,91,109,15.7,1023.2,1806,94
Santa Maria/Azoren,PRT,2015,18,0.5,20.7,15.5,,,707,91,74,,1024.1,,
Funchal / Madeira,PRT,2015,19.6,0.5,22.8,17.2,,,301,51,36,15.7,1022.1,2416,112
Lissabon,PRT,2015,17.5,0.6,21.8,14,,,463,62,54,15.5,1019.6,2870,103
Helgoland,DEU,2015,10.6,1.5,12.3,8.9,25.9,-1.5,810,113,146,11.1,1015.7,1723,102
Hamburg-Fuhlsb.,DEU,2015,10.1,1.4,14,5.9,36.4,-6.4,794,103,132,10.1,1016.4,1649,106
Greifswald,DEU,2015,9.7,1.7,13.5,5.9,33.6,-10.6,580,103,114,9.9,1016.4,1712,98
Berlin-Tegel,DEU,2015,11.1,1.8,15.4,6.6,37.6,-8.2,464,84,98,9.7,1017.3,1791,110
Essen,DEU,2015,10.9,1.3,14.5,7.3,36.1,-4.2,941,101,153,10.5,1018,1729,119
Dresden,DEU,2015,10.7,1.9,15,6.5,37.4,-5.4,631,91,97,9.8,1018.2,1970,125
Frankfurt/Main,DEU,2015,11.6,1.9,16.2,6.7,38.8,-5.2,431,66,92,10.1,1019,1759,111
Stuttgart,DEU,2015,10.9,2.3,15.8,5.8,37,-10,489,68,91,9.7,1019.4,1901,113
München (Stadt),DEU,2015,11.1,1.9,15.8,6.7,36.9,-9.1,849,86,121,9.6,1019.4,1984,117
Zugspitze,DEU,2015,-2.9,1.9,0,-5.5,15.8,-21.5,1720,86,156,4.1,,2081,112
Wien,AUT,2015,12.1,2.3,16.5,8.5,,,519,86,74,10.3,1018.7,2115,110
Innsbruck,AUT,2015,9.8,1.6,16.1,5.2,,,1286,141,126,9.7,1019.4,2187,114
Sonnblick,AUT,2015,-3.8,1.9,-1.8,-5.4,,,1564,97,158,4.1,,1997,120
Prag,CZE,2015,10.1,2.2,14.7,5.7,36.3,-9.4,382,73,76,9.3,1018.8,1817,109
Brünn,CZE,2015,11.1,2.5,15.6,6.7,36.1,-7.3,413,85,65,9.7,1019,1791,106
Sliac,SVK,2015,10.2,2.3,16.5,4.9,37.4,-16.6,668,97,89,9.7,1019.1,1957,118
Poprad,SVK,2015,7.6,1.8,13.7,2.6,34,-21.4,611,106,88,8.5,,2024,112
Elbing,POL,2015,8.5,0.8,12,5.5,,,650,94,106,9,1016.7,2101,137
Warschau,POL,2015,10.3,2.5,14.8,6.2,36.6,-12.5,404,78,88,9.3,1017.8,1916,83
Breslau,POL,2015,11.1,2.8,16.3,6.1,,,391,66,80,9.8,1018.4,2177,146
Budapest,HUN,2015,12.2,1.8,17.2,7.9,,,575,111,71,10.3,1019,2281,116
Debrecen,HUN,2015,11.9,2.1,17.1,7.2,,,433,77,80,10.3,1018.5,2311,117
Pecs,HUN,2015,12.2,1.8,16.9,7.9,,,617,99,70,10.2,1019.3,2351,112
Belgrad,SRB,2015,14,2.1,18.7,10,37.6,-12.7,686,100,88,10.9,1018.5,2353,116
Podgorica,MNE,2015,17.2,1.9,23.5,11.9,42.2,-6.1,1178,71,79,11.5,1017.1,2591,104
Tirana,ALB,2015,16,0.8,23.3,9.7,39.8,-8.9,,,,12.3,1016.8,,
Ljubljana,SVN,2015,12.1,2.4,17.1,7.8,36.5,-9.6,1090,78,79,11.3,1019.3,2036,119
Zagreb,HRV,2015,13.6,2.3,18,10,37.4,-8,826,94,82,11,1018.8,2075,115
Split,HRV,2015,17.5,1.6,20.7,14.5,38.5,-0.9,799,97,71,11.7,1016.6,2725,105
Mostar,BIH,2015,16.1,1.6,21.8,11.6,41.9,-3.4,1362,95,78,13,1017.3,2575,112
Sarajevo,BIH,2015,10.7,1.2,16.7,6.1,38,-16.5,766,83,95,9.3,1018.1,1913,107
Cluj,ROU,2015,10.3,2.1,15.8,5.5,35.6,-17.7,678,124,100,10.7,1019.3,1934,96
Timisoara,ROU,2015,12.7,2,18.3,7.4,37.7,-16.3,575,97,83,11.2,1018.4,2120,100
Sibiu,ROU,2015,10.4,1.9,16.4,4.6,34.8,-25.8,546,87,86,10.2,1019.3,1787,98
Sulina,ROU,2015,12.6,1.3,15.2,10.2,32.6,-13.8,267,95,44,13,1017.6,1989,94
Bukarest,ROU,2015,11.9,1.3,18.2,5.7,38.5,-20.4,688,116,84,11.1,1018.4,2067,98
Constanta,ROU,2015,13.3,1.7,16.7,9.8,33.5,-13.5,596,151,69,12.4,1018,2237,99
Varna,BGR,2015,13.5,1.5,17.7,10.2,,,514,107,55,12.6,1017.7,2517,127
Sofia,BGR,2015,11.4,1.7,16.9,6.4,,,728,129,86,9.8,1018.4,2309,114
Triest,ITA,2015,15.7,1.5,19.6,12.3,37.8,-1,692,66,71,12.7,1017.6,2315,110
Pisa,ITA,2015,15.5,1.4,20.8,10.7,35.5,-3,863,96,69,14.2,1017.7,2396,105
Termoli,ITA,2015,17.9,,20.9,15.4,39,3.8,331,86,49,,1016.4,2486,112
Grazzanise,ITA,2015,16.6,1.5,23.2,10.8,39.8,-5.6,945,105,82,16.7,1016.9,,
Messina,ITA,2015,19.1,0.9,22.3,16.8,36.4,3.4,1308,157,96,16.9,1016.4,2587,104
Trapani/Birgi,ITA,2015,18.5,0.9,23,13.9,38.2,1,617,138,67,17.5,1017.3,2730,102
Luqa,MLT,2015,19.6,1,23.3,16,38.4,2.1,496,90,58,16.9,1017.3,3104,105
Kerkyra,GRC,2015,18.8,1.3,23.2,13.7,,,977,89,66,16.3,1015.8,2763,109
Larissa,GRC,2015,16.6,1,22.2,9.7,,,557,127,61,11.5,1017,2406,99
Athen (Obs.),GRC,2015,18.7,1,23.3,15.2,,,410,109,46,13.2,1016.5,,
Athen,GRC,2015,19.2,0.7,23.2,15.2,,,353,96,47,12.6,1016.1,2925,106
Heraklion/Kreta,GRC,2015,19.2,0.8,22,15.8,,,437,87,50,16.1,1015.4,2803,104
Murmansk,RUS,2015,2.2,2.3,5.3,-0.6,24.6,-29.9,508,106,119,6.1,1007.5,1299,98
Kanin Nos,RUS,2015,1,2.1,2.9,-1,,,376,87,109,6.4,1007.8,,
Archangelsk,RUS,2015,3.1,2.4,7,-0.4,,,662,122,126,7.2,1010,1523,93
Tallinn,EST,2015,7.5,2.4,11.1,4.1,28.4,-12.3,592,89,116,8.9,1012.5,1947,111
St. Petersburg,RUS,2015,7.7,2.7,10.7,4.9,29.3,-14.7,557,90,118,8.5,1012.8,1533,94
Klaipeda,LTU,2015,9,2,12.7,6,,,670,91,112,9.5,1015.7,2030,112
Daugavpils,LVA,2015,7.6,2.1,12,3.2,,,553,87,118,8.9,1015.9,1778,106
Vilnius,LTU,2015,8.2,2.2,12.4,4.4,,,593,87,112,8.6,1016.8,1815,114
Minsk,BLR,2015,8.7,2.9,12.7,5,35.8,-16.8,562,83,106,8.6,1016.9,1874,107
Kasan,RUS,2015,6.1,2.3,10.1,2.8,,,549,100,116,7.8,1015.1,2083,108
Moskau,RUS,2015,7.4,2.5,11.2,3.7,31.3,-20.4,717,104,115,8.2,1015.5,,
Gomel,BLR,2015,9.3,2.9,13.7,5.2,34.9,-18.4,507,86,83,8.7,1017.3,2116,116
Kiew,UKR,2015,10.5,2.8,15,6.6,35.7,-16.8,452,70,71,8.8,1017.7,,
Odessa,UKR,2015,12.1,2,16,8.6,34.7,-15.3,463,100,72,11.5,1018,2270,104
Charkiw,UKR,2015,9.7,2.2,14.2,5.3,36.2,-23.4,528,102,83,8.5,1017.4,2253,126
Wolgograd,RUS,2015,9.7,2,14.7,4.8,40.4,-27.8,,,,7.3,1017.9,,
Rostow am Don,RUS,2015,11.4,1.8,15.7,7.2,,-23.8,530,92,81,9.3,1017.4,,
Yerevan,ARM,2015,14,1.9,20.7,9.4,,,361,130,63,10.6,,,
Jan Mayen,NOR,2014,1.9,3.3,3.6,0.3,12.5,-12.8,537,78,118,6.3,1008.7,,
Svalbard/Spitzb.,NOR,2014,-2.1,4.3,0.1,-4.4,12.2,-20.4,273,149,75,4.2,1010.4,,
Tromsoe,NOR,2014,3.6,0.8,6.4,1.1,27.9,-14.2,793,82,127,6.7,1010,,
Bodoe,NOR,2014,6.5,1.9,8.9,4,29.1,-10,901,89,121,7.7,1009.9,,
Bergen,NOR,2014,9.9,2.1,13.5,6.9,31.4,-6.3,2442,125,184,8.6,1009.7,,
Oslo,NOR,2014,8.3,2.6,12.1,5,33.4,-14.5,1028,134,139,8.8,1011.9,,
Kvikkjokk,SWE,2014,0.4,,5.1,-4.7,30.9,-39.4,428,70,91,5.9,1011.9,,
Östersund,SWE,2014,5,2.4,8.3,1.9,28.9,-20.5,,,,,1011.6,1794,117
Stockholm,SWE,2014,8.8,2.2,12.1,5.9,31.9,-10.7,608,113,98,9.2,1013.5,1805,99
Jönköping,SWE,2014,7.7,2.3,11.6,3.4,31,-14.5,,,,9.1,1013.2,,
Visby,SWE,2014,8.5,1.5,12.1,4.8,32.9,-12.2,,,,10.3,1014.1,2117,113
Sodankylä,FIN,2014,1.5,2.5,5.6,-2.8,30.9,-35.7,553,111,107,6.5,1012.7,1472,94
Kajaani,FIN,2014,3.8,2.5,7.1,0.2,29.3,-27.2,,,,7.4,1014,,
Jyväskylä,FIN,2014,4.9,2.3,8.9,0.6,30.3,-27.8,612,96,101,7.8,1014.2,1552,97
Helsinki,FIN,2014,6.7,2.2,10,3.4,31,-21.6,634,97,113,8.8,1015.1,,
Lerwick,GBR,2014,8.6,1.7,10.3,6.8,18.3,-2.2,1366,112,215,9.9,1007,890,86
Aberdeen,GBR,2014,9.6,1.7,12.6,6.5,,,974,124,156,9.7,1008.1,1267,94
Waddington,GBR,2014,11.1,1.8,14.5,7.5,28.2,-3.7,617,103,108,10.7,1011.3,1451,94
London,GBR,2014,12.7,2.1,16.4,8.8,30.3,-4.1,865,144,142,10.9,1012.5,1669,110
Camborne,GBR,2014,11.7,1.3,14.1,9.2,26.3,-0.7,1167,108,167,11.8,1012.5,1619,99
Valentia,IRL,2014,11.2,0.8,13.9,8.6,,,1683,118,218,11,1010.2,,
Dublin,IRL,2014,9.9,0.4,13.7,6,,,919,126,146,10.5,1009.8,1551,108
Belmullet,IRL,2014,10.6,1,13.4,7.9,,,1288,113,215,10.9,1008.2,,
Reykjavik,ISL,2014,6,1.7,8.9,3.7,,,964,121,160,7.6,1001.7,1166,92
Akureyri,ISL,2014,5.3,2.1,8.7,2.8,,,743,152,133,7.3,1003.9,945,90
Egedesminde,GRL,2014,-2.9,2,,,,,404,147,90,4.5,1007.5,,
Danmarkshavn,GRL,2014,,,,,,,331,251,52,,,,
Thorshavn/Färöer,DNK,2014,8,1.6,,,,,1392,95,213,9.4,1005,,
Kopenhagen,DNK,2014,10.7,2.1,,,,,832,131,131,10.5,1013.7,,
De Bilt,NLD,2014,11.7,2.3,15.7,7.5,32.9,-3.3,873,109,124,11.5,1013.4,1788,121
Brüssel,BEL,2014,11.9,2,15.6,8.4,32.9,-5.7,784,98,131,11,1013.8,1635,110
Luxemburg,LUX,2014,10.8,2.5,14.7,7.2,32.2,-10.2,856,98,116,10.5,1015.1,1797,110
Säntis,CHE,2014,-0.1,1.9,2.4,-2.4,17.9,-18.4,2377,88,181,5,,1589,95
Genf,CHE,2014,11.7,2.1,16.3,7.4,33.4,-4.1,1006,106,114,10.6,1016.1,1860,110
Brest,FRA,2014,12.2,1.3,16.1,8.9,28.3,-5,1377,124,179,11.9,1013.9,1685,96
Paris,FRA,2014,12.5,1.6,16.9,8.6,34.8,-7,717,116,118,11.2,1014.8,1756,100
Strassburg,FRA,2014,12.4,2.3,17.4,7.9,37,-8.5,674,110,104,11.1,1015.6,1723,105
Bordeaux,FRA,2014,14.5,1.8,19.5,10.4,35.3,-4.3,1001,109,138,12.8,1016,2115,102
Toulouse,FRA,2014,14.6,1.7,19.5,10.3,33.8,-5,691,105,112,12.6,1016.2,2127,104
Marseille,FRA,2014,16.6,1.8,21.4,12.2,35.2,-1.7,688,126,69,12.6,1014.4,2865,101
Ajaccio,FRA,2014,16.4,1.5,21.6,11.5,36.1,-1.1,735,114,78,14.2,1014.5,2793,102
La Coruna,ESP,2014,15.5,1.4,18.6,12.5,30.4,3,1108,111,148,,,2069,105
Valladolid,ESP,2014,13.6,1.6,19.4,7.8,37.5,-5.2,434,98,76,10,1015.7,2769,109
Barcelona,ESP,2014,17.5,2.2,21.3,13.8,33.2,2,518,79,50,15.8,1015.2,2052,83
Madrid,ESP,2014,15.7,1.7,21.3,10.2,38.4,-3.8,386,84,63,10.1,1015.2,2967,106
Palma de Mallorca,ESP,2014,17.9,2.1,23.7,12.1,37.4,-0.7,352,83,48,15.7,1015.6,2747,102
Alicante,ESP,2014,19.2,1.4,24.2,14.3,38,0.6,154,43,22,14.9,1015.7,3275,113
Cadiz,ESP,2014,18.7,0.5,21.5,16,33.6,4.2,637,105,57,15.8,1017.6,,
Almeria,ESP,2014,19.8,1.3,23.8,15.9,37.6,4.3,126,62,20,15.8,1015.6,3222,110
Gibraltar,GBR,2014,18.9,0.7,21.9,15.9,,,630,81,52,,1017.5,,
Lajes/Azoren,PRT,2014,17.2,0.3,20.6,15.4,31.3,6.7,665,52,110,15.4,1021.5,1908,99
Santa Maria/Azoren,PRT,2014,17.9,0.4,20.5,15.6,,,479,62,77,,1022.3,,
Funchal / Madeira,PRT,2014,19.5,0.5,22.8,17,,,482,81,54,16.3,1020.4,2449,113
Lissabon,PRT,2014,17.2,0.4,21.1,14,,,1085,144,101,15.2,1016.8,2740,98
Helgoland,DEU,2014,11.4,2.3,13.2,9.7,25.9,-6.6,761,106,122,11.7,1012.8,1772,105
Hamburg-Fuhlsb.,DEU,2014,10.8,2.1,14.8,6.6,31.6,-12.5,682,89,117,10.9,1013.7,1676,108
Greifswald,DEU,2014,10.1,2,13.6,6.6,28.9,-15.4,746,132,113,10.8,1014.3,1745,100
Berlin-Tegel,DEU,2014,11.5,2.2,15.5,7.3,34.2,-13.7,434,78,92,10.3,1014.6,1711,105
Essen,DEU,2014,11.6,2.1,15.2,8.3,33.4,-5.4,857,92,140,11,1014.1,1565,108
Dresden,DEU,2014,10.9,2,14.8,7,32.9,-14.8,596,86,111,10.4,1015.1,1760,111
Frankfurt/Main,DEU,2014,12.1,2.4,16.4,7.8,35.2,-7.6,652,99,105,10.8,1015.1,1630,103
Stuttgart,DEU,2014,11.1,2.5,15.6,6.4,34.6,-13.5,697,97,116,10.3,1015.7,1799,107
München (Stadt),DEU,2014,11.1,1.9,15.6,6.9,33.9,-11.6,855,87,126,9.8,1015.6,1665,99
